id,abbr,description,first_appearance,flag,name,num_appearances,gold_2014,silver_2014,bronze_2014,gold_total,silver_total,bronze_total,medal_total,medals_2014
kazakhstan,KAZ,"Since first competing as an independent nation at the 1994 Lillehammer Olympic Winter Games, Kazakhstan has won a total of six medals, with four of them belong to one man.",1994,http://gtcdn.sochi2014.com/flag/large/kaz.png,Kazakhstan,6,0,0,1,1.0,3.0,2.0,6.0,1
korea,KOR,Athletes from Korea have won 45 medals at the Olympic Winter Games and 37 of them [including 19 gold] have been won in short track speed skating.,1948,http://gtcdn.sochi2014.com/flag/large/kor.png,Korea,17,2,2,1,23.0,14.0,8.0,45.0,5
kyrgyzstan,KGZ,Biathlete Alexandr Tropnikov is the only athlete to represent Kyrgyzstan at two editions of the Olympic Winter Games. He took part in the 10km sprint and 20km individual events in both 1998 and 2002.,1994,http://gtcdn.sochi2014.com/flag/large/kgz.png,Kyrgyzstan,6,0,0,0,,,,,0
latvia,LVA,"Latvia first competed at the Olympic Winter Games in 1924, and returned to competition as an independent nation in 1992.",1924,http://gtcdn.sochi2014.com/flag/large/lat.png,Latvia,10,0,1,2,0.0,2.0,1.0,3.0,3
lebanon,LBN,Lebanon has participated in all but two editions of the Olympic Winter Games since 1948.,1948,http://gtcdn.sochi2014.com/flag/large/lib.png,Lebanon,16,0,0,0,,,,,0
liechtenstein,LIE,Liechtenstein are the only nation to have won a winter Olympic medal without having won a medal of any colour at a summer Games.,1936,http://gtcdn.sochi2014.com/flag/large/lie.png,Liechtenstein,18,0,0,0,2.0,2.0,5.0,9.0,0
lithuania,LTU,"Lithuania's first representative at the Olympic Winter Games was speed skater Kestutis Bulota, who took part in four events in St Moritz in 1928. Ice dancing husband and wife couple Margarita Drobiazko and Povilas Vanagas represented Lithuania at five consecutive Olympic Winter Games between 1992 and 2006, with a best placing of fifth in 2002.",1928,http://gtcdn.sochi2014.com/flag/large/ltu.png,Lithuania,8,0,0,0,,,,,0
luxembourg,LUX,Luxembourg first took part in the Olympic Winter Games in 1928 and since 1988 has participated in every edition of Olympic Winter Games.,1928,http://gtcdn.sochi2014.com/flag/large/lux.png,Luxembourg,8,0,0,0,0.0,2.0,0.0,2.0,0
malta,MLT,Malta is making its first appearance at the Olympic Winter Games in Sochi.,2014,http://gtcdn.sochi2014.com/flag/large/mlt.png,Malta,1,0,0,0,,,,,0
mexico,MEX,"Alpine skier Hubertus Von Hohenlohe competed at four consecutive Olympic Winter Games between 1984 and 1994. After a 16-year break, he returned to the Games in Vancouver in 2010. He will be making his sixth appearance in Sochi, drawing him level with Liechtenstein's Marco Buchel for most appearances by an alpine skier at the Olympic Winter Games.",1928,http://gtcdn.sochi2014.com/flag/large/mex.png,Mexico,8,0,0,0,,,,,0
monaco,MCO,"Prince Albert II [competing as Albert Grimaldi] participated in bobsleigh at five editions of the Olympic Winter Games [1988, 1992, 1994, 1998 and 2002], the most by an athlete representing Monaco.",1984,http://gtcdn.sochi2014.com/flag/large/mon.png,Monaco,9,0,0,0,,,,,0
mongolia,MNG,"Mongolia has sent athletes to every edition of the Olympic Winter Games since 1964, except for the 1976 Games in Innsbruck.",1964,http://gtcdn.sochi2014.com/flag/large/mgl.png,Mongolia,13,0,0,0,,,,,0
montenegro,MNE,Alpine skier Bojan Kosic became the first athlete to represent Montenegro at the Olympic Winter Games when he took part in the men's giant slalom in Vancouver in 2010. He was Montenegro's sole representative in Vancouver.,2010,http://gtcdn.sochi2014.com/flag/large/mne.png,Montenegro,2,0,0,0,,,,,0
